category,name
dashboard,dashboard
account,account
permission,permission
permission,permission-edit
permission,permission-delete
role,role-edit
order,order
order,order-create
order,order-edit
order,order-delete
product,product
product,product-create
product,product-edit
product,product-delete
product,product-category
product,product-category-create
product,product-category-edit
product,product-category-delete
user,user-management
user,user-management-create
user,user-management-edit
user,user-management-delete
